,Comp,Date,Close,month_ROR,qtr_ROR,year_ROR,Score,Oil,EUR,JPY
159,JOUT,2018-04-18,61.8016242980957,-0.0389099773472335,0.0352700581489259,0.6361870167015964,0.7100299934307507,73.48,0.81,107.23
160,JOUT,2018-05-02,63.52825927734375,0.0663705307574536,0.0317655064005622,0.5960568284185361,0.7226077848060244,73.36,0.84,109.84
161,JOUT,2018-05-30,73.74332427978516,0.1418066683782069,0.15946909248531,0.5479844123322175,0.6411900578385812,77.5,0.86,108.91
162,JOUT,2018-06-13,75.29630279541016,0.0864551352254183,0.1911330175269774,0.5711312906227138,0.6438257628050187,76.74,0.85,110.34
163,JOUT,2021-02-10,121.77361297607422,0.043245731467209,0.2879349243101893,0.4625311586960405,0.6155667933725082,61.47,0.83,104.57
164,JOUT,2021-02-24,125.45503997802734,0.0708252210152117,0.3991339968950811,0.6062687417577326,0.6167435472090415,67.04,0.82,105.86
165,JOUT,2021-03-10,140.74339294433594,0.1238972515970818,0.4324699190867412,0.8049972484121757,0.6307776239404791,67.9,0.84,108.38
166,JOUT,2021-03-24,132.25534057617188,0.1173659032103679,0.2872778455076402,0.9439874947077876,0.6724144762921684,64.41,0.85,108.72
167,JOUT,2021-06-30,119.59139251708984,-0.0216281058894008,-0.124035755086121,0.3225333185862264,0.7281384861534995,75.13,0.84,111.1
168,JOUT,2021-07-14,113.69940948486328,-0.054176273744033,-0.243507875079876,0.2751965202849356,0.7347727350247041,74.76,0.84,109.99
169,JOUT,2021-07-28,112.49142456054688,-0.0360889874675144,-0.2467908142210615,0.247765139485175,0.7420328167040815,74.74,0.84,109.9
170,JOUT,2021-08-11,121.02655029296876,0.0169408137226256,-0.1554389223162656,0.317716075171702,0.762130373549732,71.44,0.85,110.4
171,JOUT,2021-08-25,114.7984848022461,-0.0174012994485202,-0.1138118274451255,0.3021632748386894,0.7759447621247816,72.25,0.85,109.99
172,JOUT,2021-09-08,111.89733123779295,-0.0301760499347019,-0.0764294803943287,0.3197518007069567,0.7779821006708117,72.6,0.85,110.23
173,JOUT,2021-09-22,104.71871948242188,-0.0771550892941152,-0.1130673646731394,0.2612189980074036,0.7829914809654802,76.19,0.86,109.78
174,HNGR,2009-11-18,13.5,-0.0533303571784822,-0.0607619164632567,-0.231525425374464,0.4908001915196567,79.47,0.67,89.4
175,HNGR,2009-12-02,13.710000038146973,-0.0452320799309707,-0.0408485998575629,-0.0730416621063817,0.5467234322128001,77.88,0.66,87.64
176,HNGR,2009-12-16,14.06999969482422,0.0044027381578079,-0.0476152289546349,-0.0316897752122115,0.5948958967321516,73.55,0.69,89.86
177,HNGR,2009-12-30,14.079999923706056,0.0584019770809972,-0.0038525564938369,-0.0109968522550722,0.6664836517598446,78.03,0.7,92.46
178,HNGR,2010-01-13,15.609999656677246,0.0404133724726563,0.0574429037663993,0.0972034908133127,0.7735615079499635,78.31,0.69,91.39
179,HNGR,2010-01-27,16.670000076293945,0.1524780118512247,0.1293041789958481,0.1679769516914002,0.7871141412034857,72.24,0.71,89.97
180,HNGR,2010-02-10,16.6200008392334,0.1227079861599902,0.1824744517463848,0.1653973077746102,0.7609265632999673,72.54,0.73,89.92
181,HNGR,2010-02-24,18.459999084472656,0.1209191384587305,0.3179383318122455,0.1913082407161855,0.7158002241293993,78.09,0.74,90.29
182,HNGR,2010-03-10,18.38999938964844,0.137190565921336,0.3160582204702464,0.389077433209242,0.7277536154686711,80.48,0.73,90.5
183,HNGR,2010-03-24,19.13999938964844,0.0225938691404394,0.2962961476104099,0.4393822628586424,0.6816849075307767,79.62,0.75,92.01
184,HNGR,2010-08-11,14.420000076293944,-0.2068755041934838,-0.1977210745505816,0.071311386212609,0.7902344909112387,77.64,0.78,85.13
185,PKI,2009-03-25,11.554061889648438,-0.0867951727641585,-0.0909461409239089,-0.6435188176524653,0.4606818934643725,51.75,0.74,97.78
186,PKI,2020-12-30,140.2052001953125,0.078802966892521,0.1449701658913418,0.3676960309813153,0.5679104283164238,51.34,0.81,103.17
187,PKI,2021-03-24,124.92401123046876,-0.0642831376636069,-0.1063982633164805,0.6158615657339416,0.7674905527359253,64.41,0.85,108.72
188,PKI,2021-04-07,129.89303588867188,0.027834445038389,-0.1574889737983103,0.5655780002494761,0.6879913475629468,63.16,0.84,109.84
189,PKI,2021-04-21,133.7152099609375,0.0551705927492727,-0.1084806854045123,0.5027654908559992,0.6765710705183096,65.32,0.83,108.05
190,PKI,2021-05-05,136.34080505371094,0.0226554144537893,-0.0861232322239125,0.3890658756208019,0.7835637043311534,68.96,0.83,109.18
191,PKI,2021-05-19,142.390625,0.0546734824593838,-0.0143849326152909,0.4372900599843912,0.8441998143177551,66.66,0.82,109.21
192,PKI,2021-06-02,138.93643188476562,0.0711879611016697,0.102828109163164,0.3579977177348089,0.8548070177423033,71.35,0.82,109.54
